Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
E4,1,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,68.22,0.61,-2.6,0,,
E5,1,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,116.87,0.285,-4.63,0,,
E1,2,7.875,15.0,25.0,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000.0,1.0,100.0,1,,
E2,2,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,14.98,0.321,-6.57,0,,
E3,2,20.625,10.0,30.0,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000.0,1.0,100.0,1,,
E4,2,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,116.9,0.422,-2.35,0,,
E5,2,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,115.53,0.307,-2.89,0,,
E1,3,7.875,15.0,25.0,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000.0,1.0,100.0,1,,
E2,3,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,11.27,0.147,-4.05,0,,
E3,3,20.625,10.0,30.0,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000.0,1.0,100.0,1,,
E4,3,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,96.84,0.506,-2.6,0,,
E5,3,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,111.33,0.392,-3.35,0,,
B4_A,avg,8.25,17.0,23.0,1.65,Capryol_90,Tween_20,Ethanol,A190,25.79666667,0.297666667,-3.636666667,0,110.7866667,1.74e-05
E2_A,avg,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,A190,121.1666667,0.150333333,-2.226666667,0,96.49666667,2.34e-05
F5_A,avg,10.0,20.0,20.0,2.0,Capryol_90,Tween_20,PEG_400,A190,149.9666667,0.247666667,-2.743333333,0,98.48,2.42e-05
B4_F,avg,8.25,17.0,23.0,1.65,Capryol_90,Tween_20,Ethanol,Feno,171.5666667,0.296666667,-2.536666667,0,101.0233333,9.02e-06
E2_F,avg,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,Feno,12.18333333,0.179333333,-3.433333333,0,92.74333333,1.69e-05
F5_F,avg,10.0,20.0,20.0,2.0,Capryol_90,Tween_20,PEG_400,Feno,193.9,0.489,-3.116666667,0,100.2566667,1.51e-05
